14-Dec-2021 18:00:34  | FRM | ### | ----------------------------------------------------------------------------
14-Dec-2021 18:01:51  | INF | ### | | a_y_stim_zp1g_bite_sum    |     -226.56mg|   0.00mg  | 3750mg < DC < 3750mg |
14-Dec-2021 18:01:51  | INF | ### | | a_z_stim_zp1g_bite_sum    |      235.00mg|   0.00mg  | 3750mg < DC < 3750mg |
14-Dec-2021 18:01:51  | INF | ### | | a_x_stim_zp1g_bite_diff   |     9504.45mg|   0.00mg  | 6500mg < DC < 13000mg |
14-Dec-2021 18:01:51  | INF | ### | | a_y_stim_zp1g_bite_diff   |    -8388.75mg|   0.00mg  | -12000mg < DC < -5500mg |
14-Dec-2021 18:01:51  | INF | ### | | a_z_stim_zp1g_bite_diff   |    -9400.39mg|   0.00mg  | -11500mg < DC < -7000mg |
14-Dec-2021 18:01:51  | INF | ### | | a_x_stim_zp1g_prepost_bite|       -0.70mg|   0.00mg  | -10 mg < DC < 10mg |
14-Dec-2021 18:01:51  | INF | ### | | a_y_stim_zp1g_prepost_bite|       -0.86mg|   0.00mg  | -10 mg < DC < 10mg |
14-Dec-2021 18:01:51  | INF | ### | | a_z_stim_zp1g_prepost_bite|       -0.23mg|   0.00mg  | -10 mg < DC < 10mg |
14-Dec-2021 18:01:53  | INF | ### | | a_x_S28_SC_Sensor_Mode    |   26850.00LSB|  0.56LSB  | X < DC < X, AC < X |
14-Dec-2021 18:01:53  | INF | ### | | a_y_S28_SC_Sensor_Mode    |  -27374.92LSB|  0.79LSB  | X < DC < X, AC < X |
14-Dec-2021 18:01:53  | INF | ### | | a_z_S28_SC_Sensor_Mode    |  -26044.61LSB|  0.67LSB  | X < DC < X, AC < X |
14-Dec-2021 18:01:54  | INF | ### | | a_x_S28_SC_CBIST          |   24336.68LSB|  0.43LSB  | X < DC < X, AC < X |
14-Dec-2021 18:01:54  | INF | ### | | a_y_S28_SC_CBIST          |  -24423.20LSB|  0.89LSB  | X < DC < X, AC < X |
14-Dec-2021 18:01:54  | INF | ### | | a_z_S28_SC_CBIST          |  -23756.95LSB|  0.43LSB  | X < DC < X, AC < X |
14-Dec-2021 18:01:55  | INF | ### | | NSF_S28_x                 |          0.91|     0.00  | NSF_S28_x |
14-Dec-2021 18:01:55  | INF | ### | | NSF_S28_y                 |          0.89|     0.00  | NSF_S28_y |
14-Dec-2021 18:01:55  | INF | ### | | NSF_S28_z                 |          0.91|     0.00  | NSF_S28_z |
14-Dec-2021 18:01:55  | INF | ### | | a_x_S28_DC_SC_CBIST       |    -580.43LSB|  0.68LSB  | X < DC < X, AC < X |
14-Dec-2021 18:01:55  | INF | ### | | a_y_S28_DC_SC_CBIST       |     515.08LSB|  1.06LSB  | X < DC < X, AC < X |
14-Dec-2021 18:01:55  | INF | ### | | a_z_S28_DC_SC_CBIST       |     448.16LSB|  0.63LSB  | X < DC < X, AC < X |
14-Dec-2021 18:01:55  | INF | ### | | a_x_S28_DC_SC_CBIST_nsf   |          0.62|     0.00  | a_x_S28_DC_SC_CBIST_nsf |
14-Dec-2021 18:01:55  | INF | ### | | a_y_S28_DC_SC_CBIST_nsf   |          0.94|     0.00  | a_y_S28_DC_SC_CBIST_nsf |
14-Dec-2021 18:01:55  | INF | ### | | a_z_S28_DC_SC_CBIST_nsf   |          0.57|     0.00  | a_z_S28_DC_SC_CBIST_nsf |
