16-Nov-2021 13:59:28  | INF | ### | | a_x_stim_zp1g_bite_sign0  |     4923.59mg|   1.21mg  | 3000mg < DC < 7000 mg |
16-Nov-2021 13:59:29  | INF | ### | | a_y_stim_zp1g_bite_sign0  |    -4556.52mg|   2.66mg  | -6500mg < DC < -2000 mg |
16-Nov-2021 13:59:29  | INF | ### | | a_z_stim_zp1g_bite_sign0  |    -3711.80mg|   0.81mg  | -5000mg < DC < -2000 mg |
16-Nov-2021 13:59:29  | INF | ### | | a_x_stim_zp1g_bite_sign1  |    -5278.63mg|   2.05mg  | -7000mg < DC < -3000 mg |
16-Nov-2021 13:59:29  | INF | ### | | a_y_stim_zp1g_bite_sign1  |     4372.85mg|   1.87mg  | 2000mg < DC < 6500 mg |
16-Nov-2021 13:59:29  | INF | ### | | a_z_stim_zp1g_bite_sign1  |     5599.92mg|   1.68mg  | 4000mg < DC < 7000 mg |
16-Nov-2021 13:59:31  | INF | ### | | a_x_stim_zp1g_post_bite   |        2.50mg|   1.47mg  | -20mg < DC < 20 mg, AC < 2 mg |
16-Nov-2021 13:59:31  | INF | ### | | a_y_stim_zp1g_post_bite   |      -21.25mg|   1.94mg  | -20mg < DC < 20 mg, AC < 2 mg |
16-Nov-2021 13:59:31  | INF | ### | | a_z_stim_zp1g_post_bite   |      984.22mg|   2.21mg  | 980mg < DC < 1020 mg, AC < 2 mg |
16-Nov-2021 13:59:31  | INF | ### | | a_x_stim_zp1g_bite_sum    |     -359.88mg|   0.00mg  | 3750mg < DC < 3750mg |
16-Nov-2021 13:59:31  | INF | ### | | a_y_stim_zp1g_bite_sum    |     -140.70mg|   0.00mg  | 3750mg < DC < 3750mg |
16-Nov-2021 13:59:31  | INF | ### | | a_z_stim_zp1g_bite_sum    |      -81.09mg|   0.00mg  | 3750mg < DC < 3750mg |
16-Nov-2021 13:59:31  | INF | ### | | a_x_stim_zp1g_bite_diff   |    10202.23mg|   0.00mg  | 6500mg < DC < 13000mg |
16-Nov-2021 13:59:31  | INF | ### | | a_y_stim_zp1g_bite_diff   |    -8929.38mg|   0.00mg  | -12000mg < DC < -5500mg |
16-Nov-2021 13:59:31  | INF | ### | | a_z_stim_zp1g_bite_diff   |    -9311.72mg|   0.00mg  | -11500mg < DC < -7000mg |
16-Nov-2021 13:59:31  | INF | ### | | a_x_stim_zp1g_prepost_bite|        0.08mg|   0.00mg  | -10 mg < DC < 10mg |
16-Nov-2021 13:59:31  | INF | ### | | a_y_stim_zp1g_prepost_bite|        0.23mg|   0.00mg  | -10 mg < DC < 10mg |
16-Nov-2021 13:59:31  | INF | ### | | a_z_stim_zp1g_prepost_bite|       -0.39mg|   0.00mg  | -10 mg < DC < 10mg |
16-Nov-2021 13:59:33  | INF | ### | | a_x_S28_SC_Sensor_Mode    |   25469.49LSB|  0.58LSB  | X < DC < X, AC < X |
16-Nov-2021 13:59:33  | INF | ### | | a_y_S28_SC_Sensor_Mode    |  -25733.36LSB|  0.82LSB  | X < DC < X, AC < X |
16-Nov-2021 13:59:33  | INF | ### | | a_z_S28_SC_Sensor_Mode    |  -26018.44LSB|  0.65LSB  | X < DC < X, AC < X |
16-Nov-2021 13:59:33  | INF | ### | | a_x_S28_SC_CBIST          |   22742.89LSB|  1.15LSB  | X < DC < X, AC < X |
