06-Dec-2021 17:19:33  | INF | ### | | a_z_S28_SC_CBIST          |  -23428.05LSB|  0.92LSB  | X < DC < X, AC < X |
06-Dec-2021 17:19:34  | INF | ### | | NSF_S28_x                 |          0.91|     0.00  | NSF_S28_x |
06-Dec-2021 17:19:34  | INF | ### | | NSF_S28_y                 |          0.89|     0.00  | NSF_S28_y |
06-Dec-2021 17:19:34  | INF | ### | | NSF_S28_z                 |          0.94|     0.00  | NSF_S28_z |
06-Dec-2021 17:19:34  | INF | ### | | a_x_S28_DC_SC_CBIST       |    -556.99LSB|  0.48LSB  | X < DC < X, AC < X |
06-Dec-2021 17:19:34  | INF | ### | | a_y_S28_DC_SC_CBIST       |     482.73LSB|  0.73LSB  | X < DC < X, AC < X |
06-Dec-2021 17:19:34  | INF | ### | | a_z_S28_DC_SC_CBIST       |     478.05LSB|  0.50LSB  | X < DC < X, AC < X |
06-Dec-2021 17:19:34  | INF | ### | | a_x_S28_DC_SC_CBIST_nsf   |          0.44|     0.00  | a_x_S28_DC_SC_CBIST_nsf |
06-Dec-2021 17:19:34  | INF | ### | | a_y_S28_DC_SC_CBIST_nsf   |          0.65|     0.00  | a_y_S28_DC_SC_CBIST_nsf |
06-Dec-2021 17:19:34  | INF | ### | | a_z_S28_DC_SC_CBIST_nsf   |          0.47|     0.00  | a_z_S28_DC_SC_CBIST_nsf |
06-Dec-2021 17:19:34  | INF | ### | | c_odr_trim_current        |          1.00|     0.00  | c_odr_trim_current |
06-Dec-2021 17:19:35  | INF | ### | | acc_trm_dgain_s0_y        |   -7508.00LSB|  0.00LSB  | dgain_s0_DC_CBIST_Noise_nsf_S28 |
06-Dec-2021 17:19:35  | INF | ### | | acc_trm_dgain_s0_z        |   -7508.00LSB|  0.00LSB  | dgain_s0_DC_CBIST_Noise_nsf_S28 |
06-Dec-2021 17:19:35  | INF | ### | | acc_trm_dgain_s0_x        |   -7508.00LSB|  0.00LSB  | dgain_s0_DC_CBIST_Noise_nsf_S28 |
06-Dec-2021 17:19:35  | INF | ### | | a_x_S28_DC_CBIST          |    -423.52LSB|  0.46LSB  | X < DC < X, AC < X |
06-Dec-2021 17:19:35  | INF | ### | | a_y_S28_DC_CBIST          |     362.15LSB|  0.54LSB  | X < DC < X, AC < X |
06-Dec-2021 17:19:35  | INF | ### | | a_z_S28_DC_CBIST          |     357.50LSB|  0.48LSB  | X < DC < X, AC < X |
06-Dec-2021 17:19:36  | INF | ### | | tm_acc_ileak              |       1.00LSB|  0.00LSB  | tm_acc_ileak |
06-Dec-2021 17:19:36  | INF | ### | | a_x_S28_DC_ILEAK_Noise    |    -422.42LSB|  0.49LSB  | X < DC < X, AC < X |
06-Dec-2021 17:19:36  | INF | ### | | a_y_S28_DC_ILEAK_Noise    |     365.43LSB|  0.98LSB  | X < DC < X, AC < X |
06-Dec-2021 17:19:36  | INF | ### | | a_z_S28_DC_ILEAK_Noise    |     357.03LSB|  1.57LSB  | X < DC < X, AC < X |
06-Dec-2021 17:19:36  | INF | ### | | a_x_S28_DC_ILEAK_DIFF     |         -1.09|     0.00  | a_x_S28_DC_ILEAK_DIFF |
06-Dec-2021 17:19:36  | INF | ### | | a_y_S28_DC_ILEAK_DIFF     |         -3.28|     0.00  | a_y_S28_DC_ILEAK_DIFF |
06-Dec-2021 17:19:36  | INF | ### | | a_z_S28_DC_ILEAK_DIFF     |          0.47|     0.00  | a_z_S28_DC_ILEAK_DIFF |
06-Dec-2021 17:19:37  | INF | ### | | tm_acc_axis_en            |       5.00LSB|  0.00LSB  | tm_acc_axis_en |
06-Dec-2021 17:19:37  | INF | ### | | a_x_S28_DC_ILEAK_CH2_Noise|    -423.05LSB|  0.56LSB  | X < DC < X, AC < X |
06-Dec-2021 17:19:37  | INF | ### | | a_y_S28_DC_ILEAK_CH2_Noise|   31999.02LSB|  0.00LSB  | X < DC < X, AC < X |
06-Dec-2021 17:19:37  | INF | ### | | a_z_S28_DC_ILEAK_CH2_Noise|     357.15LSB|  1.42LSB  | X < DC < X, AC < X |
06-Dec-2021 17:19:37  | INF | ### | | a_x_S28_DC_ILEAK_CH2_DIFF |          0.63|     0.00  | a_x_S28_DC_ILEAK_CH2_DIFF |
06-Dec-2021 17:19:37  | INF | ### | | a_y_S28_DC_ILEAK_CH2_DIFF |     -31633.59|     0.00  | a_y_S28_DC_ILEAK_CH2_DIFF |
06-Dec-2021 17:19:37  | INF | ### | | a_z_S28_DC_ILEAK_CH2_DIFF |         -0.12|     0.00  | a_z_S28_DC_ILEAK_CH2_DIFF |
06-Dec-2021 17:19:37  | INF | ### | | tm_acc_axis_en            |       7.00LSB|  0.00LSB  | tm_acc_axis_en |
06-Dec-2021 17:19:39  | SEN | 002 | module_id:11531
