23-Dec-2021 16:01:11  | FRM | ### | ----------------------------------------------------------------------------
23-Dec-2021 16:02:33  | INF | ### | | a_x_S28_DC_SC_CBIST_nsf   |          0.88|     0.00  | a_x_S28_DC_SC_CBIST_nsf |
23-Dec-2021 16:02:33  | INF | ### | | a_y_S28_DC_SC_CBIST_nsf   |          0.92|     0.00  | a_y_S28_DC_SC_CBIST_nsf |
23-Dec-2021 16:02:33  | INF | ### | | a_z_S28_DC_SC_CBIST_nsf   |          0.59|     0.00  | a_z_S28_DC_SC_CBIST_nsf |
23-Dec-2021 16:02:34  | INF | ### | | c_odr_trim_current        |          0.00|     0.00  | c_odr_trim_current |
23-Dec-2021 16:02:34  | INF | ### | | acc_trm_dgain_s0_y        |   -7475.00LSB|  0.00LSB  | dgain_s0_DC_CBIST_Noise_nsf_S28 |
23-Dec-2021 16:02:34  | INF | ### | | acc_trm_dgain_s0_z        |   -7475.00LSB|  0.00LSB  | dgain_s0_DC_CBIST_Noise_nsf_S28 |
23-Dec-2021 16:02:35  | INF | ### | | acc_trm_dgain_s0_x        |   -7475.00LSB|  0.00LSB  | dgain_s0_DC_CBIST_Noise_nsf_S28 |
23-Dec-2021 16:02:35  | INF | ### | | a_x_S28_DC_CBIST          |    -373.24LSB|  0.40LSB  | X < DC < X, AC < X |
23-Dec-2021 16:02:35  | INF | ### | | a_y_S28_DC_CBIST          |     262.70LSB|  0.40LSB  | X < DC < X, AC < X |
23-Dec-2021 16:02:35  | INF | ### | | a_z_S28_DC_CBIST          |     318.55LSB|  0.63LSB  | X < DC < X, AC < X |
23-Dec-2021 16:02:35  | INF | ### | | tm_acc_ileak              |       1.00LSB|  0.00LSB  | tm_acc_ileak |
23-Dec-2021 16:02:36  | INF | ### | | a_x_S28_DC_ILEAK_Noise    |    -374.06LSB|  0.82LSB  | X < DC < X, AC < X |
23-Dec-2021 16:02:36  | INF | ### | | a_y_S28_DC_ILEAK_Noise    |     263.95LSB|  2.00LSB  | X < DC < X, AC < X |
23-Dec-2021 16:02:36  | INF | ### | | a_z_S28_DC_ILEAK_Noise    |     317.58LSB|  2.52LSB  | X < DC < X, AC < X |
23-Dec-2021 16:02:36  | INF | ### | | a_x_S28_DC_ILEAK_DIFF     |          0.82|     0.00  | a_x_S28_DC_ILEAK_DIFF |
23-Dec-2021 16:02:36  | INF | ### | | a_y_S28_DC_ILEAK_DIFF     |         -1.25|     0.00  | a_y_S28_DC_ILEAK_DIFF |
23-Dec-2021 16:02:36  | INF | ### | | a_z_S28_DC_ILEAK_DIFF     |          0.98|     0.00  | a_z_S28_DC_ILEAK_DIFF |
23-Dec-2021 16:02:36  | INF | ### | | tm_acc_axis_en            |       5.00LSB|  0.00LSB  | tm_acc_axis_en |
23-Dec-2021 16:02:37  | INF | ### | | a_x_S28_DC_ILEAK_CH2_Noise|    -374.61LSB|  1.13LSB  | X < DC < X, AC < X |
23-Dec-2021 16:02:37  | INF | ### | | a_y_S28_DC_ILEAK_CH2_Noise|   31999.02LSB|  0.00LSB  | X < DC < X, AC < X |
23-Dec-2021 16:02:37  | INF | ### | | a_z_S28_DC_ILEAK_CH2_Noise|     318.09LSB|  2.78LSB  | X < DC < X, AC < X |
23-Dec-2021 16:02:37  | INF | ### | | a_x_S28_DC_ILEAK_CH2_DIFF |          0.55|     0.00  | a_x_S28_DC_ILEAK_CH2_DIFF |
23-Dec-2021 16:02:37  | INF | ### | | a_y_S28_DC_ILEAK_CH2_DIFF |     -31735.08|     0.00  | a_y_S28_DC_ILEAK_CH2_DIFF |
23-Dec-2021 16:02:37  | INF | ### | | a_z_S28_DC_ILEAK_CH2_DIFF |         -0.51|     0.00  | a_z_S28_DC_ILEAK_CH2_DIFF |
